"","x"
"Molenbeek_0_10",26629
"Herentals_0_10",78104
"Diepenbeek_0_10",220258
"Burdinne_0_10",1553
"Cerfontaine_0_10",54888
"Deurne_0_10",20491
"Genappe_0_10",8080
"Bredene_0_10",9150
"Sombreffe_0_10",29263
"Seneffe_0_10",166379
"Marke_0_10",12057
"Molenbeek_10_30",42316
"Herentals_10_30",138782
"Diepenbeek_10_30",226756
"Burdinne_10_30",50047
"Cerfontaine_10_30",108826
"Deurne_10_30",97983
"Genappe_10_30",21825
"Bredene_10_30",52242
"Sombreffe_10_30",99285
"Seneffe_10_30",73343
"Marke_10_30",13365
"Burdinne_Lucas",7556
"Marke_Lucas",31369
"Diepenbeek_Lucas",206096
"Genappe_Lucas",992
"Bredene_Lucas",135297
"Cerfontaine_Lucas",40125
"Sombreffe_Lucas",3779
"Seneffe_Lucas",14249
"Molenbeek_Lucas",17348
