"","x"
"Molenbeek_0_10",158202
"Herentals_0_10",239107
"Diepenbeek_0_10",294728
"Burdinne_0_10",21550
"Cerfontaine_0_10",198999
"Deurne_0_10",177677
"Genappe_0_10",99959
"Bredene_0_10",163018
"Sombreffe_0_10",255412
"Seneffe_0_10",262161
"Marke_0_10",397633
"Molenbeek_10_30",284995
"Herentals_10_30",242020
"Diepenbeek_10_30",378141
"Burdinne_10_30",178039
"Cerfontaine_10_30",157309
"Deurne_10_30",257231
"Genappe_10_30",57990
"Bredene_10_30",114489
"Sombreffe_10_30",216605
"Seneffe_10_30",216460
"Marke_10_30",146206
"Gon_0_10",100264
"Gon_10_30",342484
"Burdinne_Lucas",29474
"Marke_Lucas",165565
"Diepenbeek_Lucas",408052
"Genappe_Lucas",65849
"Bredene_Lucas",221595
"Cerfontaine_Lucas",48958
"Sombreffe_Lucas",56006
"Seneffe_Lucas",195357
"Molenbeek_Lucas",74392
"Diepenbeek_strooisel",305571
"Gontrode_strooisel",427558
