"","x"
"Molenbeek_0_10",158205
"Herentals_0_10",239177
"Diepenbeek_0_10",294732
"Burdinne_0_10",21550
"Cerfontaine_0_10",199026
"Deurne_0_10",177684
"Genappe_0_10",99993
"Bredene_0_10",163019
"Sombreffe_0_10",255420
"Seneffe_0_10",262161
"Marke_0_10",397633
"Molenbeek_10_30",285371
"Herentals_10_30",242084
"Diepenbeek_10_30",378565
"Burdinne_10_30",178155
"Cerfontaine_10_30",157312
"Deurne_10_30",257248
"Genappe_10_30",58000
"Bredene_10_30",114514
"Sombreffe_10_30",216605
"Seneffe_10_30",216460
"Marke_10_30",146206
"Gon_0_10",100293
"Gon_10_30",343385
"Burdinne_Lucas",29474
"Marke_Lucas",165569
"Diepenbeek_Lucas",408064
"Genappe_Lucas",65860
"Bredene_Lucas",221604
"Cerfontaine_Lucas",48979
"Sombreffe_Lucas",56042
"Seneffe_Lucas",195364
"Molenbeek_Lucas",74419
"Diepenbeek_strooisel",305656
"Gontrode_strooisel",427558
