"","x"
"Molenbeek_0_10",1193
"Herentals_0_10",25437
"Diepenbeek_0_10",80116
"Burdinne_0_10",255
"Cerfontaine_0_10",36355
"Deurne_0_10",14787
"Genappe_0_10",6853
"Bredene_0_10",679
"Sombreffe_0_10",22628
"Seneffe_0_10",162859
"Marke_0_10",2874
"Molenbeek_10_30",3464
"Herentals_10_30",15476
"Diepenbeek_10_30",133836
"Burdinne_10_30",1956
"Cerfontaine_10_30",102431
"Deurne_10_30",5368
"Genappe_10_30",16525
"Bredene_10_30",4004
"Sombreffe_10_30",30641
"Seneffe_10_30",4818
"Marke_10_30",923
"Burdinne_Lucas",210
"Marke_Lucas",3773
"Diepenbeek_Lucas",1292
"Genappe_Lucas",842
"Bredene_Lucas",7006
"Cerfontaine_Lucas",35318
"Sombreffe_Lucas",163
"Seneffe_Lucas",4517
"Molenbeek_Lucas",1229
